Type,Time,Minimum
Global CPU,10.073,0.133772
Global CPU,9.859,0.212883
Global CPU,10.837,0.230917
Global CPU,10.293,0.242797
Global CPU,10.263,0.026977
Global CPU,9.845,0.145403
Global CPU,9.972,0.110276
Global CPU,10.21,0.110856
Global CPU,10.275,0.10313
Global CPU,10.154,0.113553
Global GPU,0.162,-203.752686
Global GPU,0.168,-203.752686
Global GPU,0.168,-203.752686
Global GPU,0.163,-203.752686
Global GPU,0.158,-203.752686
Global GPU,0.16,-217.972534
Global GPU,0.161,-217.972534
Global GPU,0.158,-217.972534
Global GPU,0.166,-217.972534
Global GPU,0.163,-217.972534